Acqua || Artefatto || CRI-1 || I tuoi santi sono immuni alle maledizioni che causano la loro morte.
Bende Consacrate || Benedizione || EGI-1 || Equipaggiala ad un santo. Quando la sua fede scende a 0, distruggi questa carta: quel santo rimane con 1 fede.
Coccodrillo del Nilo || Santo || EGI-1 || È immune alle maledizioni.
Esondazione del Nilo || Artefatto || EGI-1 || Peschi una carta extra ogni turno.
Geb || Santo || EGI-1 || Se hai un Edificio in mano, mentre Geb è sul terreno, il suo costo è ridotto di 1 ispirazione.
Geroglifici || Artefatto || EGI-1 || I santi avversari con rarità ≤ 2 non possono attaccare.
Neith || Santo || EGI-1 || Quando entra in campo, infligge 1 danno a ogni santo avversario.
Oggetti di Famiglia || Benedizione || EGI-1 || Equipaggia questa carta ad un tuo santo non danneggiato. Dimezza la sua fede iniziale. Distruggi questa carta quando viene distrutto il santo a cui è stata equipaggiata.
Passaggio all'Aldilà || Benedizione || EGI-1 || Sacrifica un santo sul tuo terreno e ottieni ispirazione pari alla sua forza per questo turno.
Piramide: Chefren || Artefatto || EGI-1 || Con 1 piramide: tutti i tuoi santi hanno +5 forza. Con 2 piramidi: i tuoi santi raddoppiano la fede iniziale. Con 3 piramidi: peschi 2 carte in più ogni turno. Gli effetti precedenti sono mantenuti.
Piramide: Cheope || Artefatto || EGI-1 || Con 1 piramide: tutti i tuoi santi hanno +5 forza. Con 2 piramidi: i tuoi santi raddoppiano la fede iniziale. Con 3 piramidi: peschi 2 carte in più ogni turno. Gli effetti precedenti sono mantenuti.
Piramide: Micerino || Artefatto || EGI-1 || Con 1 piramide: tutti i tuoi santi hanno +5 forza. Con 2 piramidi: i tuoi santi raddoppiano la fede iniziale. Con 3 piramidi: peschi 2 carte in più ogni turno. Gli effetti precedenti sono mantenuti.
Proibizione Egizia || Maledizione || EGI-1 || Annulla l’effetto di un santo.
Ra || Santo || EGI-1 || Può essere giocato gratuitamente se Nun è già sul campo.
Sacerdote Orologio || Santo || EGI-1 || Scegli un santo avversario danneggiato con rarità ≤ 5. Quando questo sacerdote muore, anche il santo avversario scelto viene distrutto.
Schiavi || Santo || EGI-1 || Ogni volta che riceve danno non letali, ottiene +2 fede.
Schiavo Mutilato || Santo || EGI-1 || Se sconfigge un santo avversario, guadagna +2 fede e +2 forza.
Set || Santo || EGI-1 || Finché Set è in campo, può essere l’unico bersaglio degli attacchi avversari.
Sfinge || Edificio || EGI-1 || Può essere giocata solo se Cheope, Chefren e Micerino sono sul campo. Finchè questa carta è sul campo, il tuo avversario paga doppia ispirazione per giocare carte.
Tempesta di Sabbia || Maledizione || EGI-1 || Ogni santo sul terreno perde 3 punti fede.
Token Piaga || Token || EGI-1 || 
Fujn-dar || Santo || PHD-1 || Se Fujn-dar distrugge un santo, il proprietario della carta distrutta scarta 2 carte dalla mano.
Furia di Llakhnal || Maledizione || PHD-1 || Giocabile solo se entrambi i giocatori hanno meno di 50 punti peccato. Ogni giocatore guadagna 15 punti peccato. Esilia questa carta.
Gggnag'ljep || Artefatto || PHD-1 || Finchè questa carta è in campo, rendi uno slot artefatto dell'avversario inutilizzabile.
Kah-ok || Santo || PHD-1 || All’inizio di ogni tuo turno, aumenta la fede di Kah-ok di 2. Se raggiunge 10 fede, distruggi questa carta. Quando viene distrutta in questo modo, ottieni peccato pari alla fede raggiunta.
Pkad-nok || Santo || PHD-1 || Qualsiasi carta che attacca o viene attaccata da Pkad-nok viene distrutta dopo il calcolo dei danni. Se un santo viene distrutto in questo modo, entrambi i giocatori ottengono peccato pari alla sua fede.
Proibizione di Ph || Maledizione || PHD-1 || Annulla l'effetto di un santo.
Risveglio di Ph-Dak'Gaph || Benedizione || Ph-DakGaph || Scegli 5 carte scomunicate ed aggiungile alla tua mano. Perdi 10 peccato. Scomunica questa carta.
Token Gub-ner || Token || PHD-1 || 
Calice Insanguinato || Artefatto || Ombre Maya || Paga 5 peccato ad ogni inizio turno per non distruggere questa carta. Finchè questa carta è sul tuo terreno, alla fine del tuo turno, distruggi ogni tuo token Spirito Vacuo. Il tuo avversario guadagna 5 peccato per ogni token distrutto per effetto di questa carta.
Spirito dei Sepolti || Santo || Ombre Maya || Quando questa carta lascia il terreno, ogni altro santo sul terreno guadagna +1 fede e +2 forza.
Spirito Vacuo || Token || Ombre Maya || 
Barriera Magica || Benedizione || NEU-1 || Attiva questa carta per annullare l’attivazione di una Benedizione o di una Maledizione nemica.
Contemplazione || Benedizione || NEU-1 || Se hai speso più di 7 ispirazione in questo turno, ottieni 1 ispirazione extra fino all’inizio del tuo prossimo turno.
Rinforzi || Benedizione || NEU-1 || Sostituisci un tuo santo attivo con uno in posizione di difesa.
Ritorno Catastrofico || Benedizione || NEU-1 || Scegli un santo sul tuo terreno. Rimandalo nella mano del suo proprietario.
