=== ANI-1 cards=60
Albero di Pietra | Santo | F=8 P=3 | EFF=Se viene sconfitto da un santo, puoi prendere ogni carta "Pietra" nel tuo cimitero e metterla nel reliquiario. Se attivi questo effetto, questa carta viene scomunicata.
Tifone | Benedizione | F=None P=None | EFF=Pesca 2 carte. Il tuo avversario scarta le prime 2 carte del suo reliquiario.
Token Albero | Token | F=2 P=8 | EFF=
Token Sacrificale | Token | F=5 P=0 | EFF=
Tornado | Maledizione | F=None P=None | EFF=Scegli 3 santi in campo, di cui almeno uno dell’avversario. Distruggi tutti gli altri santi in campo.
Totem di Pietra | Santo | F=None P=0 | EFF=Consuma tutta la tua ispirazione rimanente per evocare questa carta. Non può attaccare. La sua Fede è pari al costo di evocazione x 3.
Uragano | Maledizione | F=None P=None | EFF=Distruggi un santo e un artefatto avversario.
Voragine | Maledizione | F=None P=None | EFF=Distruggi un santo avversario.
Vulcano | Santo | F=25 P=15 | EFF=Questa carta può solo essere evocata tramite l'effetto di "Terremoto: Magnituto 10". Una volta per turno può distruggere una carta sul terreno di qualsiasi giocatore.

=== NOR-1 cards=24
Assalto Invernale | Benedizione | F=None P=None | EFF=Puoi giocare questa carta solo se 3 o più santi sono passati dal tuo lato del terreno al cimitero questo turno. Evoca Fenrir o Jormungandr dal tuo reliquiario o Cimitero.
Bifrost | Maledizione | F=None P=None | EFF=Scomunica un santo ed infliggi peccato pari alla sua fede al tuo avversario.
Fenrir | Santo | F=15 P=8 | EFF=Ogni volta che questa carta attacca un santo, prima del calcolo dei danni, guadagna 1 forza.
Figli di Odino | Benedizione | F=None P=None | EFF=Conferisci +3 forza ad un santo. Se controlli Odino, conferisci +6 forza invece. Se controlli Odino e Thor,  conferisci +6 forza e pesca una carta.
Gungnir | Artefatto | F=4 P=None | EFF=Conferisce +4 forza a "Odino" e +1 forza a tutti i santi presenti sul tuo lato di campo
Huginn | Santo | F=3 P=1 | EFF=Quando entra in campo, guarda le prime 3 carte del reliquiario. Se tra quelle carte compare un santo, puoi aggiungerlo alla tua mano. Mischia. Se Odino è sul campo, puoi aggiungere una qualsiasi di quelle carte.
Járngreipr | Artefatto | F=4 P=None | EFF=Finchè posizionato sul terreno, conferisce +2 forza a tutti i santi presenti sul tuo lato di campo.
Jordh | Santo | F=8 P=2 | EFF=Dimezza il danno ricevuto dai santi avversari.
Jormungandr | Santo | F=25 P=6 | EFF=Ogni volta che questa carta attacca, guadagna 1 fede.
Loki | Santo | F=6 P=2 | EFF=Manda questa questa carta dal terreno al cimitero senza subire punti peccato, per evocare dalla tua mano "Jormungandr" o "Fernir",
Megingjörð | Artefatto | F=4 P=None | EFF=Finchè posizionato sul terreno, conferisce +6 forza a "Thor" e +2 forza a tutti gli altri santi presenti sul tuo lato di campo.
Mjolnir | Artefatto | F=8 P=None | EFF=Manda "Járngreipr" dal terreno al cimitero per poter posizionare questa carta. Finche questa carta è sul terreno, "Thor" ottiene +8 forza.
Muninn | Santo | F=3 P=1 | EFF=Quando entra in campo, puoi riprendere una carta dal tuo cimitero e rimetterla nel reliquiario. Mischia. Se Odino è sul campo, puoi invece aggiungerla alla mano.
Odino | Santo | F=5 P=8 | EFF=Conferisci +1 forza a questa carta ogni volta che infligge danno ad un santo avversario. Se la fede del santo avversario viene ridotta a 0, a questa carta viene conferito +2 forza.
Ragnarok | Benedizione | F=None P=None | EFF=Distruggi tutti i santi sul terreno. Per ogni tuo santo distrutto in questo modo, pesca una carta. Puoi evocare Fenrir o Jormungandr dalla tua mano senza costo di ispirazione.
Saga degli Eroi Caduti | Artefatto | F=4 P=None | EFF=Finchè questa carta è sul tuo terreno, ogni volta che un tuo santo lascia il terreno e finisce al cimitero (per effetto o distruzione in battaglia), i tuoi santi ottengono +1 forza.
Sif | Santo | F=4 P=2 | EFF=Una volta per turno, scegli un santo sul tuo terreno e conferisci +4 fede.
Skadi | Santo | F=6 P=4 | EFF=Quando entra in campo, scegli un santo avversario con forza pari o superiore a 5: quel santo perde 3 forza.
Tanngnjostr | Santo | F=2 P=3 | EFF=Se "Thor" è sul tuo terreno, manda questa carta dal terreno al cimitero senza accumulare peccato. Conferisci a "Thor" +4 fede.
Tanngrisnir | Santo | F=2 P=3 | EFF=Se "Thor" è sul tuo terreno, manda questa carta dal terreno al cimitero senza accumulare peccato. Conferisci a "Thor" +4 fede.
Tempesta di Asgard | Maledizione | F=None P=None | EFF=Tutti i santi sul terreno perdono 2 fede. Se Thor è sul tuo terreno, i santi avversari perdono invece 4 fede.
Thor | Santo | F=10 P=8 | EFF=Se sconfitto in battaglia puoi scomunicare una copia di "Tanngnjostr" o "Tanngrisnir" dal tuo cimitero per ripristinare la sua fede a 4 annullando la sua distruzione.
Valhalla | Edificio | F=8 P=None | EFF=Finche questa carta è posizionata sul terreno, guadagni +2 ispirazione per turno.
Yggdrasil | Edificio | F=10 P=None | EFF=Quando questa carta entra sul terreno, puoi cercare nel reliquiario un santo con nome Thor, Odino oppure Loki, aggiungerlo alla tua mano e poi mischiare il reliquiario. Una volta per turno puoi scegliere uno dei seguenti effetti:  Conferisci +2 forza e +2 fede ad un santo sul tuo terreno. Riprendi dal tuo cimitero un artefatto e aggiungilo alla tua mano. Se controlli almeno 3 santi con nomi diversi, pesca una carta. Se sul tuo terreno sono presenti Thor e Odino, tutti i tuoi santi ottengono +1 forza.
